,Store,Product Name,Product Number,Currency,Price,Brand Name,Product URL,Product Picture URL
0,DM,"Drahtkorbset aus Metall, schwarz (19x26cm/21x31..., 2 St",4047096944357,Eur,"11,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-drahtkorbset-aus-metall-schwarz-19x26cm-21x31-cm-p4047096944357.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1709256533/products/pim/4047096944357-144514466/dekorieren-und-einrichten-drahtkorbset-aus-metall-schwarz-19x26cm-21x31-cm"
1,DM,"Glaskerzenhalter Chevron, grün, 1 St",4066076400515,Eur,"2,95 ",BOLTZE,https://www.dm.de/boltze-glaskerzenhalter-chevron-gruen-p4066076400515.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1702173208/products/pim/4066076400515-2021053127/boltze-glaskerzenhalter-chevron-gruen"
2,DM,"Papierblock mit Einladungskarten (5 Designs), 10 St",4051271412166,Eur,"4,95 ",RICO DESIGN,https://www.dm.de/rico-design-papierblock-mit-einladungskarten-5-designs-p4051271412166.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1709898563/products/pim/4051271412166-405879587/rico-design-papierblock-mit-einladungskarten-5-designs"
3,DM,"Schal aus Musselin mit Anker-Muster und Ringeln,..., 1 St",4066447606881,Eur,"6,90 ",ALANA,https://www.dm.de/alana-schal-aus-musselin-mit-anker-muster-und-ringeln-blau-ca-95-x-47-cm-p4066447606881.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00378_vorne/alana-schal-aus-musselin-mit-anker-muster-und-ringeln-blau-ca-95-x-47-cm"
4,DM,"gestanzte Servietten ""Blühende Grüße"" (33x33 cm,..., 12 St",4066447626476,Eur,"1,95 ",Profissimo,https://www.dm.de/profissimo-gestanzte-servietten-bluehende-gruesse-33x33-cm-gestanzt-p4066447626476.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1706758131/products/pim/4066447626476-605583835/profissimo-gestanzte-servietten-bluehende-gruesse-33x33-cm-gestanzt"
5,DM,"Metallherz mit Spruch ""Danke, dass du immer für..., 1 St",4066076255177,Eur,"2,95 ",BOLTZE,https://www.dm.de/boltze-metallherz-mit-spruch-danke-dass-du-immer-fuer-mich-da-bist-p4066076255177.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699448304/products/pim/4066076255177-3870845/boltze-metallherz-mit-spruch-danke-dass-du-immer-fuer-mich-da-bist"
6,DM,"Schal aus Musselin, blau, 1 St",4066447604825,Eur,"5,90 ",ALANA,https://www.dm.de/alana-schal-aus-musselin-blau-p4066447604825.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00375_vorne/alana-schal-aus-musselin-blau"
7,DM,"Mütze mit Löwen-Muster, gelb, Gr. 50/51, 1 St",4066447605938,Eur,"4,90 ",ALANA,https://www.dm.de/alana-muetze-mit-loewen-muster-gelb-gr-50-51-p4066447605938.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00436_vorne/alana-muetze-mit-loewen-muster-gelb-gr-50-51"
8,DM,"Schal aus Musselin mit Regenbogen-Muster, gelb,..., 1 St",4066447606690,Eur,"6,90 ",ALANA,https://www.dm.de/alana-schal-aus-musselin-mit-regenbogen-muster-gelb-ca-95-x-47-cm-p4066447606690.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00376_VS/alana-schal-aus-musselin-mit-regenbogen-muster-gelb-ca-95-x-47-cm"
9,DM,"Loop Schal mit Ringeln, bunt, 1 St",4066447604641,Eur,"4,90 ",ALANA,https://www.dm.de/alana-loop-schal-mit-ringeln-bunt-p4066447604641.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00254_vorne/alana-loop-schal-mit-ringeln-bunt"
